Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 01:00:00,08/02/13 02:00:00,13.3360972222222
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 03:00:00,08/02/13 04:00:00,13.7946972222222
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 03:00:00,08/02/13 04:00:00,27.5893944444444
AmazonDynamoDB,StandardStorage,TimedStorage-ByteHrs,,08/02/13 03:00:00,08/02/13 04:00:00,34894254.3377072
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 04:00:00,08/02/13 05:00:00,28.5649388888889
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 04:00:00,08/02/13 05:00:00,14.2824694444444
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 06:00:00,08/02/13 07:00:00,13.6391277777778
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 06:00:00,08/02/13 07:00:00,27.2782555555556
AmazonDynamoDB,StandardStorage,TimedStorage-ByteHrs,,08/02/13 07:00:00,08/02/13 08:00:00,36137765.7943556
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 07:00:00,08/02/13 08:00:00,30.1199166666667
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 07:00:00,08/02/13 08:00:00,15.0599583333333
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 08:00:00,08/02/13 09:00:00,28.59405
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 08:00:00,08/02/13 09:00:00,14.297025
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 10:00:00,08/02/13 11:00:00,26.9380111111111
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 10:00:00,08/02/13 11:00:00,13.4690055555556
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 11:00:00,08/02/13 12:00:00,13.64795
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 11:00:00,08/02/13 12:00:00,27.2959
AmazonDynamoDB,StandardStorage,TimedStorage-ByteHrs,,08/02/13 11:00:00,08/02/13 12:00:00,34819789.8048206
